origin_id,school_id,cci_cost
nta_QN52,school_Q301,3674.9432201894365
nta_QN52,school_Q328,
nta_QN52,school_Q263,1044.239658756358
nta_QN52,school_X527,
nta_QN52,school_X544,5569.151975602528
nta_QN52,school_X696,5983.918347146032
nta_QN52,school_M543,5183.451148510964
nta_QN52,school_Q705,2793.661731773403
nta_QN52,school_K507,5448.782365133929
nta_QN52,school_M420,5195.937628503939
nta_QN52,school_Q255,1974.2573126481088
nta_QN52,school_X388,4826.668618232811
nta_QN52,school_K620,7446.81916530629
nta_QN52,school_M437,5134.752009888618
nta_QN52,school_K765,5643.915811767775
nta_QN52,school_Q299,3476.3668926681407
nta_QN52,school_Q339,3811.38119699268
nta_QN52,school_K529,6443.960403411381
nta_QN52,school_K499,5805.000860574638
nta_QN52,school_X268,5703.350591648244
nta_QN52,school_Q325,
nta_QN52,school_K633,6893.807177380837
nta_QN52,school_K643,6675.918432342841
nta_QN52,school_Q023,3611.721827385801
nta_QN52,school_M265,6363.0759361975
nta_QN52,school_K553,5479.301902297267
nta_QN52,school_K781,8076.0961005577865
nta_QN52,school_M507,4753.073766455972
nta_QN52,school_X433,5703.350591648244
nta_QN52,school_Q811,2987.142980898291
nta_QN52,school_K454,
nta_QN52,school_K674,5692.332157045309
nta_QN52,school_X365,6091.816885197433
nta_QN52,school_K478,5334.656680935262
nta_QN52,school_K632,4495.475495364721
nta_QN52,school_X227,6012.785905957614
nta_QN52,school_K745,6834.886398227864
nta_QN52,school_M300,5021.393518396467
nta_QN52,school_X377,4080.312121031395
nta_QN52,school_M605,5134.752009888618
nta_QN52,school_M280,4984.639730170999
nta_QN52,school_M400,4877.2205293452
nta_QN52,school_M304,5613.158737518321
nta_QN52,school_K667,5982.471912424587
nta_QN52,school_K685,4895.868479121688
nta_QN52,school_X477,
nta_QN52,school_X288,5153.210385435793
nta_QN52,school_M625,4753.073766455972
nta_QN52,school_X403,5932.3957236561355
nta_QN52,school_K358,5731.1557531895005
nta_QN52,school_K505,6862.084749122845
nta_QN52,school_K483,5673.851564757163
nta_QN52,school_K539,6472.7644196001365
nta_QN52,school_Q670,1944.4536147601714
nta_QN52,school_X480,5390.11741427833
nta_QN52,school_M414,4944.889360436162
nta_QN52,school_K737,5909.664565256174
nta_QN52,school_X010,2998.3879335244483
nta_QN52,school_X282,4462.025381184899
nta_QN52,school_M417,5656.588707054154
nta_QN52,school_K412,5278.600851287001
nta_QN52,school_M399,4915.193032360526
nta_QN52,school_K455,5643.915811767775
nta_QN52,school_M282,4984.639730170999
nta_QN52,school_M650,5034.642658822131
nta_QN52,school_K592,5298.504414472609
nta_QN52,school_Q435,2747.7495387587633
nta_QN52,school_X473,5790.609745535344
nta_QN52,school_Q687,2668.735537155439
nta_QN52,school_K524,6149.821583337402
nta_QN52,school_M288,5021.393518396467
nta_QN52,school_M519,4752.024973778291
nta_QN52,school_K575,5479.301902297267
nta_QN52,school_M411,4484.83914037881
nta_QN52,school_X546,
nta_QN52,school_X349,3922.4794422015398
nta_QN52,school_X525,6123.4651487842275
nta_QN52,school_Q520,3308.2688860157186
nta_QN52,school_K684,5958.42005187065
nta_QN52,school_M403,5656.588707054154
nta_QN52,school_M459,4752.024973778291
nta_QN52,school_X208,5149.990360411153
nta_QN52,school_X513,5833.770722693314
