source,target,type,shape_id,weight
sub_226S,sub_227S,transit_travel,sub_2..S01R,60.0
sub_226S,sub_227S,transit_travel,sub_2..S03R,60.0
sub_226S,sub_227S,transit_travel,sub_3..S01R,60.0
sub_226S,sub_227S,transit_travel,sub_3..S03R,60.0
sub_226S,sub_227S,transit_travel,sub_nan,60.0
sub_227N,sub_226N,transit_travel,sub_2..N01R,60.0
sub_227N,sub_226N,transit_travel,sub_2..N02R,60.0
sub_227N,sub_226N,transit_travel,sub_3..N01R,60.0
sub_227S,sub_120S,transit_travel,sub_2..S01R,290.0
sub_227S,sub_120S,transit_travel,sub_2..S03R,270.0
sub_227S,sub_120S,transit_travel,sub_3..S01R,303.46153846153845
sub_227S,sub_120S,transit_travel,sub_3..S03R,315.0
sub_227S,sub_120S,transit_travel,sub_nan,305.55555555555554
sub_228N,sub_137N,transit_travel,sub_2..N01R,82.5
sub_228N,sub_137N,transit_travel,sub_2..N02R,90.0
sub_228N,sub_137N,transit_travel,sub_3..N01R,83.75
sub_228S,sub_229S,transit_travel,sub_2..S01R,120.0
sub_228S,sub_229S,transit_travel,sub_3..S01R,134.4
sub_228S,sub_229S,transit_travel,sub_3..S03R,150.0
sub_228S,sub_229S,transit_travel,sub_nan,134.0
sub_229N,sub_228N,transit_travel,sub_2..N01R,127.5
sub_229N,sub_228N,transit_travel,sub_2..N02R,120.0
sub_229N,sub_228N,transit_travel,sub_3..N01R,127.2
sub_229S,sub_230S,transit_travel,sub_2..S01R,90.0
sub_229S,sub_230S,transit_travel,sub_3..S01R,90.0
sub_229S,sub_230S,transit_travel,sub_3..S03R,90.0
sub_229S,sub_230S,transit_travel,sub_nan,90.0
sub_230N,sub_229N,transit_travel,sub_2..N01R,82.5
sub_230N,sub_229N,transit_travel,sub_2..N02R,90.0
sub_230N,sub_229N,transit_travel,sub_3..N01R,83.75
sub_230S,sub_231S,transit_travel,sub_3..S01R,270.0
sub_230S,sub_231S,transit_travel,sub_3..S03R,270.0
sub_230S,sub_231S,transit_travel,sub_nan,270.0
sub_231N,sub_230N,transit_travel,sub_2..N01R,210.0
sub_231N,sub_230N,transit_travel,sub_2..N02R,210.0
sub_231N,sub_230N,transit_travel,sub_3..N01R,210.0
sub_231S,sub_232S,transit_travel,sub_2..S01R,60.0
sub_231S,sub_232S,transit_travel,sub_3..S01R,76.8
sub_231S,sub_232S,transit_travel,sub_3..S03R,90.0
sub_231S,sub_232S,transit_travel,sub_nan,76.55172413793103
sub_232N,sub_231N,transit_travel,sub_2..N01R,118.75
sub_232N,sub_231N,transit_travel,sub_2..N02R,120.0
sub_232N,sub_231N,transit_travel,sub_3..N01R,118.8
sub_232S,sub_233S,transit_travel,sub_2..S01R,90.0
sub_232S,sub_233S,transit_travel,sub_3..S01R,90.0
sub_232S,sub_233S,transit_travel,sub_3..S03R,90.0
sub_232S,sub_233S,transit_travel,sub_nan,90.0
sub_233N,sub_232N,transit_travel,sub_2..N01R,90.0
sub_233N,sub_232N,transit_travel,sub_2..N02R,90.0
sub_233N,sub_232N,transit_travel,sub_3..N01R,90.0
sub_233S,sub_234S,transit_travel,sub_2..S01R,60.0
sub_233S,sub_234S,transit_travel,sub_3..S01R,60.0
sub_233S,sub_234S,transit_travel,sub_3..S03R,60.0
sub_233S,sub_234S,transit_travel,sub_nan,60.0
sub_234N,sub_233N,transit_travel,sub_2..N01R,90.0
sub_234N,sub_233N,transit_travel,sub_2..N02R,90.0
sub_234N,sub_233N,transit_travel,sub_3..N01R,90.0
sub_234N,sub_423N,transit_travel,sub_4..N03R,120.0
sub_234N,sub_423N,transit_travel,sub_4..N06R,120.0
sub_234N,sub_423N,transit_travel,sub_4..N43R,120.0
sub_234N,sub_423N,transit_travel,sub_5..N24R,120.0
sub_234N,sub_423N,transit_travel,sub_nan,120.0
sub_234S,sub_235S,transit_travel,sub_2..S01R,90.0
sub_234S,sub_235S,transit_travel,sub_3..S01R,90.0
sub_234S,sub_235S,transit_travel,sub_3..S03R,90.0
sub_234S,sub_235S,transit_travel,sub_4..S06R,90.0
sub_234S,sub_235S,transit_travel,sub_4..S34R,90.0
sub_234S,sub_235S,transit_travel,sub_4..S36R,90.0
sub_234S,sub_235S,transit_travel,sub_4..S39R,90.0
sub_234S,sub_235S,transit_travel,sub_4..S40R,90.0
sub_234S,sub_235S,transit_travel,sub_5..S04R,90.0
sub_234S,sub_235S,transit_travel,sub_5..S06R,90.0
sub_234S,sub_235S,transit_travel,sub_5..S09R,90.0
sub_234S,sub_235S,transit_travel,sub_5..S15R,90.0
sub_234S,sub_235S,transit_travel,sub_nan,90.0
sub_235N,sub_234N,transit_travel,sub_2..N01R,90.0
sub_235N,sub_234N,transit_travel,sub_2..N02R,90.0
sub_235N,sub_234N,transit_travel,sub_3..N01R,90.0
sub_235N,sub_234N,transit_travel,sub_4..N03R,90.0
sub_235N,sub_234N,transit_travel,sub_4..N06R,90.0
sub_235N,sub_234N,transit_travel,sub_4..N43R,90.0
sub_235N,sub_234N,transit_travel,sub_5..N24R,90.0
sub_235N,sub_234N,transit_travel,sub_nan,90.0
sub_235S,sub_236S,transit_travel,sub_2..S01R,60.0
sub_235S,sub_236S,transit_travel,sub_3..S01R,68.4
sub_235S,sub_236S,transit_travel,sub_3..S03R,60.0
sub_235S,sub_236S,transit_travel,sub_nan,69.3103448275862
sub_235S,sub_239S,transit_travel,sub_4..S06R,221.25
sub_235S,sub_239S,transit_travel,sub_4..S34R,235.9090909090909
sub_235S,sub_239S,transit_travel,sub_4..S36R,240.0
sub_235S,sub_239S,transit_travel,sub_4..S39R,240.0
sub_235S,sub_239S,transit_travel,sub_4..S40R,240.0
sub_235S,sub_239S,transit_travel,sub_5..S04R,230.625
sub_235S,sub_239S,transit_travel,sub_5..S06R,240.0
sub_235S,sub_239S,transit_travel,sub_5..S09R,230.0
sub_235S,sub_239S,transit_travel,sub_5..S15R,240.0
sub_236N,sub_235N,transit_travel,sub_2..N01R,90.0
sub_236N,sub_235N,transit_travel,sub_2..N02R,90.0
sub_236N,sub_235N,transit_travel,sub_3..N01R,90.0
sub_236S,sub_237S,transit_travel,sub_2..S01R,120.0
sub_236S,sub_237S,transit_travel,sub_3..S01R,120.0
sub_236S,sub_237S,transit_travel,sub_3..S03R,120.0
sub_236S,sub_237S,transit_travel,sub_nan,120.0
sub_237N,sub_236N,transit_travel,sub_2..N01R,120.0
sub_237N,sub_236N,transit_travel,sub_2..N02R,120.0
sub_237N,sub_236N,transit_travel,sub_3..N01R,120.0
sub_237S,sub_238S,transit_travel,sub_2..S01R,120.0
sub_237S,sub_238S,transit_travel,sub_3..S01R,111.6
sub_237S,sub_238S,transit_travel,sub_3..S03R,120.0
sub_237S,sub_238S,transit_travel,sub_nan,111.42857142857143
sub_238N,sub_237N,transit_travel,sub_2..N01R,102.0
sub_238N,sub_237N,transit_travel,sub_2..N02R,120.0
sub_238N,sub_237N,transit_travel,sub_3..N01R,103.2
sub_238S,sub_239S,transit_travel,sub_2..S01R,90.0
sub_238S,sub_239S,transit_travel,sub_3..S01R,97.5
sub_238S,sub_239S,transit_travel,sub_3..S03R,90.0
sub_238S,sub_239S,transit_travel,sub_nan,98.57142857142857
sub_239N,sub_235N,transit_travel,sub_4..N03R,270.0
sub_239N,sub_235N,transit_travel,sub_4..N06R,303.3333333333333
sub_239N,sub_235N,transit_travel,sub_4..N43R,330.0
sub_239N,sub_235N,transit_travel,sub_5..N24R,300.0
sub_239N,sub_235N,transit_travel,sub_nan,310.38461538461536
sub_239N,sub_238N,transit_travel,sub_2..N01R,120.0
sub_239N,sub_238N,transit_travel,sub_2..N02R,120.0
sub_239N,sub_238N,transit_travel,sub_3..N01R,120.0
sub_239S,sub_241S,transit_travel,sub_2..S01R,150.0
sub_239S,sub_241S,transit_travel,sub_5..S04R,176.25
sub_239S,sub_241S,transit_travel,sub_5..S09R,180.0
sub_239S,sub_241S,transit_travel,sub_nan,180.0
sub_239S,sub_248S,transit_travel,sub_3..S01R,90.0
sub_239S,sub_248S,transit_travel,sub_3..S03R,90.0
sub_239S,sub_248S,transit_travel,sub_nan,90.0
sub_239S,sub_250S,transit_travel,sub_4..S06R,210.0
sub_239S,sub_250S,transit_travel,sub_4..S34R,210.0
sub_239S,sub_250S,transit_travel,sub_4..S36R,210.0
sub_239S,sub_250S,transit_travel,sub_4..S39R,210.0
sub_239S,sub_250S,transit_travel,sub_4..S40R,210.0
sub_239S,sub_250S,transit_travel,sub_5..S06R,210.0
sub_239S,sub_250S,transit_travel,sub_5..S15R,210.0
sub_241N,sub_239N,transit_travel,sub_2..N01R,150.0
sub_241N,sub_239N,transit_travel,sub_2..N02R,150.0
sub_241N,sub_239N,transit_travel,sub_5..N24R,150.0
sub_241N,sub_239N,transit_travel,sub_nan,150.0
sub_241S,sub_242S,transit_travel,sub_2..S01R,90.0
sub_241S,sub_242S,transit_travel,sub_5..S04R,90.0
sub_241S,sub_242S,transit_travel,sub_5..S09R,90.0
sub_241S,sub_242S,transit_travel,sub_nan,90.0
sub_242N,sub_241N,transit_travel,sub_2..N01R,90.0
sub_242N,sub_241N,transit_travel,sub_2..N02R,90.0
sub_242N,sub_241N,transit_travel,sub_5..N24R,90.0
sub_242N,sub_241N,transit_travel,sub_nan,90.0
